Id,Name,Gender,ZipCode,City,State,Country,Ethnicity,createdBy
1,Daleen du Plessis,Female,98168,Tukwila,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
2,Ben van Zyl,Male,98327,Dupont,WA,US,Refused/Done Not Know,Adam Puzyna
3,Chris Groenewalt,Male,98391,Bonney Lake,WA,US,Hispanic / Latinx,Emin Suleymanov
4,Jannie du Toit,Male,98002,Auburn,WA,US,Hispanic / Latinx,Andrea Fortuny
5,Helena Botha,Female,98052,Redmond,WA,US,Hispanic / Latinx,Fidan Aliyeva
6,Hester de Villiers,Female,98105,Seattle,WA,US,Hispanic / Latinx,Andrea Fortuny
7,Tiaan Theron,Male,98032,Kent,WA,US,Hispanic / Latinx,Adam Puzyna
8,Dirk Fourie,Male,98506,Olympia,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
9,Annemarie de Kock,Female,98001,Auburn,WA,US,Hispanic / Latinx,Emin Suleymanov
10,Louis de Wet,Male,98422,Tacoma,WA,US,Refused/Done Not Know,Adam Puzyna
11,Susan Kemp,Female,98125,Seattle,WA,US,Refused/Done Not Know,Andrea Fortuny
12,Koos Kriel,Male,98074,Sammamish,WA,US,Refused/Done Not Know,Andrea Fortuny
13,Irene van der Merwe,Female,98503,Lacey,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
14,Yvonne Dippenaar,Female,98112,Seattle,WA,US,Hispanic / Latinx,Adam Puzyna
15,Jaun le Roux,Male,98112,Seattle,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
16,Wilna Rossouw,Female,98101,Black Diamond,WA,US,Refused/Done Not Know,Fidan Aliyeva
17,Estie Liebenberg,Female,98057,Renton,WA,US,Hispanic / Latinx,Fidan Aliyeva
18,Christelle van Zyl,Female,98506,Olympia,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
19,Piet Smit,Male,98052,Redmond,WA,US,Refused/Done Not Know,Emin Suleymanov
20,Anila Shkoza,Female,98001,Auburn,WA,US,Refused/Done Not Know,Andrea Fortuny
21,Alban Fusha,Male,98103,Seattle,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
22,Altin Mali,Male,98422,Tacoma,WA,US,Refused/Done Not Know,Andrea Fortuny
23,Ardit Basha,Male,98371,Puyallup,WA,US,Hispanic / Latinx,Emin Suleymanov
24,Dritan Kodra,Male,98074,Sammamish,WA,US,Hispanic / Latinx,Andrea Fortuny
25,Rovena Vogli,Female,98501,Olympia,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
26,Fatmir Selvia,Male,98055,Renton,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
27,Agron Bardhi,Male,98502,Olympia,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
28,Anisa Meta,Female,98074,Sammamish,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
29,Erjona Hasa,Female,98119,Seattle,WA,US,Hispanic / Latinx,Aryna Siamashka
30,Gentiana Gjoka,Female,98338,Graham,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
31,Blerina Hafizi,Female,98516,Olympia,WA,US,Refused/Done Not Know,Adam Puzyna
32,Ilir Devolli,Male,98506,Olympia,WA,US,Refused/Done Not Know,Aryna Siamashka
33,Etleva Hysa,Female,98516,Olympia,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
34,Ermal Prifti,Male,98052,Redmond,WA,US,Refused/Done Not Know,Aryna Siamashka
35,Brunilda Kola,Female,98057,Renton,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
36,Fatos Zeneli,Male,98501,Olympia,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
37,Elona Bregu,Female,98312,Bremerton,WA,US,Refused/Done Not Know,Fidan Aliyeva
38,Sonila Rama,Female,98030,Kent,WA,US,Hispanic / Latinx,Emin Suleymanov
39,Gentian Pisha,Male,98030,Kent,WA,US,Refused/Done Not Know,Fidan Aliyeva
40,Ameha Mebratu,Male,98371,Puyallup,WA,US,Hispanic / Latinx,Fidan Aliyeva
41,Eba Lencho,Male,98405,Tacoma,WA,US,Refused/Done Not Know,Adam Puzyna
42,Daniel Sebsibe,Male,98030,Kent,WA,US,Refused/Done Not Know,Emin Suleymanov
43,Hassen Seid,Male,98502,Olympia,WA,US,Refused/Done Not Know,Adam Puzyna
44,Hayat Hassen,Female,98380,Seabeck,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
45,Gifti Boru,Female,98115,Seattle,WA,US,Hispanic / Latinx,Andrea Fortuny
46,Selam Fekadu,Female,98029,Issaquah,WA,US,Hispanic / Latinx,Fidan Aliyeva
47,Kemiliya Hussien,Female,98506,Olympia,WA,US,Hispanic / Latinx,Adam Puzyna
48,Dibora Abebe,Female,98501,Olympia,WA,US,Refused/Done Not Know,Andrea Fortuny
49,Eden Sisay,Female,98338,Graham,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
50,Tekola Melaku,Male,98038,Maple Valley,WA,US,Refused/Done Not Know,Aryna Siamashka
51,Yohannes Yared,Male,98338,Graham,WA,US,Hispanic / Latinx,Fidan Aliyeva
52,Mikias Alemayehu,Male,98380,Seabeck,WA,US,Refused/Done Not Know,Fidan Aliyeva
53,Gezahegne Mulugeta,Male,98327,Dupont,WA,US,Refused/Done Not Know,Fidan Aliyeva
54,Meron Fikremariam,Female,98501,Olympia,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
55,Petros Yaregal,Male,98409,Tacoma,WA,US,Refused/Done Not Know,Adam Puzyna
56,Mekdes Solomon,Female,98101,Black Diamond,WA,US,Refused/Done Not Know,Fidan Aliyeva
57,Meseret Meles,Female,98391,Bonney Lake,WA,US,Refused/Done Not Know,Adam Puzyna
58,Selhadin Jemal,Male,98409,Tacoma,WA,US,Hispanic / Latinx,Andrea Fortuny
59,Dabir Al-Zuhairi,Male,98327,Dupont,WA,US,Refused/Done Not Know,Emin Suleymanov
60,Ataa Badakhshi,Male,98105,Seattle,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
61,Radi Bettar,Male,98168,Tukwila,WA,US,Refused/Done Not Know,Adam Puzyna
62,Humayd Wahdani,Male,98372,Puyallup,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
63,Hamed Bettar,Male,98055,Renton,WA,US,Refused/Done Not Know,Fidan Aliyeva
64,Jakeem Mustafa,Male,98503,Lacey,WA,US,Hispanic / Latinx,Andrea Fortuny
65,Thaqib Hakimi,Male,98101,Black Diamond,WA,US,Refused/Done Not Know,Andrea Fortuny
66,Basel Karzai,Male,98501,Olympia,WA,US,Hispanic / Latinx,Fidan Aliyeva
67,Homsi Boutros,Male,98032,Kent,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
68,Abdul-Qahhar Abadi,Male,98499,Lakewood,WA,US,Hispanic / Latinx,Emin Suleymanov
69,Nabighah Maarouf,Male,98506,Olympia,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
70,Mukhtar Sarraf,Male,98022,Enumclaw,WA,US,Refused/Done Not Know,Adam Puzyna
71,Dameer Refai,Male,98372,Puyallup,WA,US,Refused/Done Not Know,Andrea Fortuny
72,Azeem Ghanem,Male,98022,Enumclaw,WA,US,Hispanic / Latinx,Aryna Siamashka
73,Abadi Maalouf,Male,98032,Kent,WA,US,Refused/Done Not Know,Emin Suleymanov
